"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","1","0","","2"
"0","E2E","0","checkLoginWithCorrectCred","1","0","Positive Login","0"
"0","E2E","0","negativeLogin","3","0","Negative Login","0"
"0","E2E","0","ChangingButtonRemove","1","0","Positive Check","0"
"0","E2E","0","checkAmountofProducts","1","0","Positive Check","0"
"0","E2E","0","checkLoginWithEmptyPassword","0","0","Negative Login","1"
"0","E2E","0","ChangingButtonAddTOCart","1","0","Positive Check","0"
"0","E2E","0","checkCartUserRoute","1","0","Positive CartAction","0"
